Match Score,Product ID,Old Slug,New Slug,Old Name,Current Name,Old URL
100,1013,"iftar-deal-2","?post_type=product&p=1013","Affordable Iftar Deal for 95 kr by Royal Sweets Stockholm","Affordable Iftar Deal for 95 kr by Royal Sweets Stockholm","https://www.royalbr.se/product/iftar-deal-2/"
100,1089,"kaju-katli","kaju-katli","Kaju Katli | Premium Sweets in Stockholm","Kaju Katli | Premium Sweets in Stockholm","https://www.royalbr.se/product/kaju-katli/"
100,1184,"boondi-phulkian-pakoria-light-delectable-savoury-delicacy","?post_type=product&p=1184","Boondi | Phulkian | Pakoria | light delectable savoury delicacy","Boondi | Phulkian | Pakoria | light delectable savoury delicacy","https://www.royalbr.se/product/boondi-phulkian-pakoria-light-delectable-savoury-delicacy/"
100,936,"kulcha","?post_type=product&p=936","Kulcha","Kulcha","https://www.royalbr.se/product/kulcha/"
100,991,"chicken-chilli-lamm-beef-chili-curry","?post_type=product&p=991","Chicken Chilli | Lamm | Beef Chili curry","Chicken Chilli | Lamm | Beef Chili curry","https://www.royalbr.se/product/chicken-chilli-lamm-beef-chili-curry/"
100,1092,"daal-mash-roll-patisa-premium-sweets-of-stockholm","?post_type=product&p=1092","Daal Mash Roll Patisa | Premium Sweets of Stockholm","Daal Mash Roll Patisa | Premium Sweets of Stockholm","https://www.royalbr.se/product/daal-mash-roll-patisa-premium-sweets-of-stockholm/"
100,980,"cutlus-gulab-jamun-the-royal-treat-by-royal-sweets","?post_type=product&p=980","Cutlus Gulab Jamun ""The Royal treat by Royal Sweets""","Cutlus Gulab Jamun "The Royal treat by Royal Sweets"","https://www.royalbr.se/product/cutlus-gulab-jamun-the-royal-treat-by-royal-sweets/"
100,1098,"ballu-shahi-the-royal-treat-by-royal-sweets-restaurant","?post_type=product&p=1098","Ballu Shahi The Royal Treat By Royal Sweets & Restaurant","Ballu Shahi The Royal Treat By Royal Sweets & Restaurant","https://www.royalbr.se/product/ballu-shahi-the-royal-treat-by-royal-sweets-restaurant/"
100,1106,"rasgulla-ethnic-indo-pak-sweetmeat-delicacy","?post_type=product&p=1106","Rasgulla | Ethnic Indo Pak sweetmeat delicacy","Rasgulla | Ethnic Indo Pak sweetmeat delicacy","https://www.royalbr.se/product/rasgulla-ethnic-indo-pak-sweetmeat-delicacy/"
100,1099,"besan-ladu-or-laddu-most-famous-subcontinental-sweet","?post_type=product&p=1099","Besan Ladu or Laddu | Most famous Subcontinental Sweet","Besan Ladu or Laddu | Most famous Subcontinental Sweet","https://www.royalbr.se/product/besan-ladu-or-laddu-most-famous-subcontinental-sweet/"
100,927,"chana-cholle-lahori-channay-for-perfect-breakfast","?post_type=product&p=927","Chana Cholle | Lahori Channay for Perfect Breakfast","Chana Cholle | Lahori Channay for Perfect Breakfast","https://www.royalbr.se/product/chana-cholle-lahori-channay-for-perfect-breakfast/"
100,1179,"vegetable-biryani-vegetarian-food-in-stockholm","?post_type=product&p=1179","Vegetable Biryani | Vegetarian food in Stockholm","Vegetable Biryani | Vegetarian food in Stockholm","https://www.royalbr.se/product/vegetable-biryani-vegetarian-food-in-stockholm/"
100,840,"chocolate-roll-patisa-premium-sweets-of-stockholm","?post_type=product&p=840","Chocolate Roll Patisa | Premium Sweets of Stockholm","Chocolate Roll Patisa | Premium Sweets of Stockholm","https://www.royalbr.se/product/chocolate-roll-patisa-premium-sweets-of-stockholm/"
100,1108,"cream-gullab-jamun-stuffed-desi-sweets","?post_type=product&p=1108","Cream Gullab Jamun | Stuffed Desi Sweets","Cream Gullab Jamun | Stuffed Desi Sweets","https://www.royalbr.se/product/cream-gullab-jamun-stuffed-desi-sweets/"
100,1185,"cream-chum-chum-stuffed-chum-chum-sweets","?post_type=product&p=1185","Cream Chum Chum | Stuffed Chum Chum Sweets","Cream Chum Chum | Stuffed Chum Chum Sweets","https://www.royalbr.se/product/cream-chum-chum-stuffed-chum-chum-sweets/"
100,844,"shaker-parey-shakar-para-best-sweets-in-town","?post_type=product&p=844","Shaker parey | Shakar Para | Best Sweets in Town","Shaker parey | Shakar Para | Best Sweets in Town","https://www.royalbr.se/product/shaker-parey-shakar-para-best-sweets-in-town/"
100,1102,"mysore-pak-sweets-by-royal-sweets-restaurant-stockholm","?post_type=product&p=1102","Mysore Pak | Sweets By Royal Sweets & Restaurant Stockholm","Mysore Pak | Sweets By Royal Sweets & Restaurant Stockholm","https://www.royalbr.se/product/mysore-pak-sweets-by-royal-sweets-restaurant-stockholm/"
100,1095,"sohan-halwa-tiki-no-1-sweets-shop-in-stockholm","?post_type=product&p=1095","Sohan Halwa Tiki ( SOHAN PITEES ) | No. 1 Sweets Shop in Stockholm","Sohan Halwa Tiki ( SOHAN PITEES ) | No. 1 Sweets Shop in Stockholm","https://www.royalbr.se/product/sohan-halwa-tiki-no-1-sweets-shop-in-stockholm/"
100,998,"achar-gosht-lamm-beef-chicken-pickle-flavour-curry","?post_type=product&p=998","Achar Gosht | Lamm | Beef | Chicken | Pickle flavour Curry","Achar Gosht | Lamm | Beef | Chicken | Pickle flavour Curry","https://www.royalbr.se/product/achar-gosht-lamm-beef-chicken-pickle-flavour-curry/"
100,849,"vegetable-pakora-popular-indian-snacks-in-stockholm","?post_type=product&p=849","Vegetable Pakora | Popular Indian snacks in Stockholm","Vegetable Pakora | Popular Indian snacks in Stockholm","https://www.royalbr.se/product/vegetable-pakora-popular-indian-snacks-in-stockholm/"
100,945,"beef-nehari-best-nihari-in-stockholm","?post_type=product&p=945","Beef Nehari | Best Nihari in Stockholm","Beef Nehari | Best Nihari in Stockholm","https://www.royalbr.se/product/beef-nehari-best-nihari-in-stockholm/"
100,943,"halwa-puri-most-famous-halwa-puri-in-stockholm","?post_type=product&p=943","Halwa Puri | Most Famous Halwa puri in Stockholm","Halwa Puri | Most Famous Halwa puri in Stockholm","https://www.royalbr.se/product/halwa-puri-most-famous-halwa-puri-in-stockholm/"
100,829,"milky-patisa-no-1-patisa-sweets-in-stockholm","?post_type=product&p=829","Milky Patisa | No. 1 Patisa Sweets in Stockholm","Milky Patisa | No. 1 Patisa Sweets in Stockholm","https://www.royalbr.se/product/milky-patisa-no-1-patisa-sweets-in-stockholm/"
100,1018,"party-deal-veg-deal","?post_type=product&p=1018","Party deal / Veg deal/ Vegetarian Indo-Pakistani Menu for 8 People","Party deal / Veg deal/ Vegetarian Indo-Pakistani Menu for 8 People","https://www.royalbr.se/product/party-deal-veg-deal/"
100,942,"lachha-paratha-best-breakfast-in-stockholm","?post_type=product&p=942","Lachha Paratha | Best Breakfast in Stockholm","Lachha Paratha | Best Breakfast in Stockholm","https://www.royalbr.se/product/lachha-paratha-best-breakfast-in-stockholm/"
100,1177,"lamm-biryani-tastiest-biryani-in-stockholm","?post_type=product&p=1177","Lamm Biryani | Tastiest Biryani In Stockholm","Lamm Biryani | Tastiest Biryani In Stockholm","https://www.royalbr.se/product/lamm-biryani-tastiest-biryani-in-stockholm/"
100,851,"goll-gapey-gol-gapay-time-for-khata-meetha-chat-pata-food","?post_type=product&p=851","Goll Gapey | Gol Gapay Time for Khata Meetha Chat Pata food","Goll Gapey | Gol Gapay Time for Khata Meetha Chat Pata food","https://www.royalbr.se/product/goll-gapey-gol-gapay-time-for-khata-meetha-chat-pata-food/"
100,992,"chicken-madras-lamm-madras-best-madras-curry","?post_type=product&p=992","Chicken Madras | Lamm Madras | Best Madras curry","Chicken Madras | Lamm Madras | Best Madras curry","https://www.royalbr.se/product/chicken-madras-lamm-madras-best-madras-curry/"
100,1002,"palak-gosht-spinach-and-lamb-curry","?post_type=product&p=1002","Palak Gosht (Spinach and Lamb Curry)","Palak Gosht (Spinach and Lamb Curry)","https://www.royalbr.se/product/palak-gosht-spinach-and-lamb-curry/"
100,1086,"coconut-burfi-premium-sweets-by-royal-sweets","?post_type=product&p=1086","Coconut Burfi | Premium Sweets By Royal Sweets","Coconut Burfi | Premium Sweets By Royal Sweets","https://www.royalbr.se/product/coconut-burfi-premium-sweets-by-royal-sweets/"
100,1093,"akhrot-halwa-walnut-halwa-true-taste-of-home","?post_type=product&p=1093","Akhrot Halwa | Walnut Halwa True taste of Home","Akhrot Halwa | Walnut Halwa True taste of Home","https://www.royalbr.se/product/akhrot-halwa-walnut-halwa-true-taste-of-home/"
100,1178,"shahi-biryani-authentic-biryani-in-stockholm","?post_type=product&p=1178","Shahi Biryani | Authentic Biryani In Stockholm","Shahi Biryani | Authentic Biryani In Stockholm","https://www.royalbr.se/product/shahi-biryani-authentic-biryani-in-stockholm/"
100,1107,"khoya-peda-mawa-peda-best-peda-shop-in-stockholm","?post_type=product&p=1107","Khoya Peda | Mawa Peda, Best Peda shop in Stockholm","Khoya Peda | Mawa Peda, Best Peda shop in Stockholm","https://www.royalbr.se/product/khoya-peda-mawa-peda-best-peda-shop-in-stockholm/"
100,939,"poori-weekend-best-puri-in-stockholm","?post_type=product&p=939","Poori (Weekend) | Best Puri in Stockholm","Poori (Weekend) | Best Puri in Stockholm","https://www.royalbr.se/product/poori-weekend-best-puri-in-stockholm/"
100,923,"seekh-kebab-juicy-and-flavorful-kebabs-by-royal-restaurant","?post_type=product&p=923","Seekh Kebab | Juicy and flavorful kebabs By Royal Restaurant","Seekh Kebab | Juicy and flavorful kebabs By Royal Restaurant","https://www.royalbr.se/product/seekh-kebab-juicy-and-flavorful-kebabs-by-royal-restaurant/"
100,909,"butter-chicken-yummiest-buttery-chicken-curry-in-stockholm","?post_type=product&p=909","Butter Chicken | Yummiest Buttery Chicken Curry in Stockholm","Butter Chicken | Yummiest Buttery Chicken Curry in Stockholm","https://www.royalbr.se/product/butter-chicken-yummiest-buttery-chicken-curry-in-stockholm/"
100,989,"mango-chicken-best-of-royal-sweets-restaurant","?post_type=product&p=989","Mango Chicken | Best of Royal Sweets & Restaurant","Mango Chicken | Best of Royal Sweets & Restaurant","https://www.royalbr.se/product/mango-chicken-best-of-royal-sweets-restaurant/"
100,850,"chana-chaat-your-new-favorite-chana-chaat-place-is-here","?post_type=product&p=850","Chana Chaat | Your new favorite chana chaat place is here.","Chana Chaat | Your new favorite chana chaat place is here.","https://www.royalbr.se/product/chana-chaat-your-new-favorite-chana-chaat-place-is-here/"
100,1113,"keema-samosa-king-of-all-samosas-by-royal-sweets","?post_type=product&p=1113","Keema Samosa | King of All Samosas By Royal Sweets","Keema Samosa | King of All Samosas By Royal Sweets","https://www.royalbr.se/product/keema-samosa-king-of-all-samosas-by-royal-sweets/"
83,1091,"gajar-ka-halwa-carrot-halwa-sweets","?post_type=product&p=1091","Gajar ka Halwa | Carrot Halwa Sweets","Gajar Halwa | Carrot Halwa Sweets","https://www.royalbr.se/product/gajar-ka-halwa-carrot-halwa-sweets/"
80,916,"beef-karahi","?post_type=product&p=916","Beef Karahi - Royal Sweets & Restaurant","Beef Karahi","https://www.royalbr.se/product/beef-karahi/"
80,924,"chappli-kebab","?post_type=product&p=924","Chappli Kebab - Royal Sweets & Restaurant","Chappli Kebab","https://www.royalbr.se/product/chappli-kebab/"
80,904,"samosa-chaat-by-royal-sweets","?post_type=product&p=904","Samosa Chaat By Royal Sweets - Royal Sweets & Restaurant","Samosa Chaat By Royal Sweets","https://www.royalbr.se/product/samosa-chaat-by-royal-sweets/"
80,1029,"double-cheese-burger","?post_type=product&p=1029","Ultimate Double Cheese Burger - Royal Sweets & Restaurant","Ultimate Double Cheese Burger","https://www.royalbr.se/product/double-cheese-burger/"
80,971,"laam-gryta-best-of-lamb-cuisine","?post_type=product&p=971","Laam Gryta | Best of Lamb Cuisine - Royal Sweets & Restaurant","Laam Gryta | Best of Lamb Cuisine","https://www.royalbr.se/product/laam-gryta-best-of-lamb-cuisine/"
