ID,Slug,Name,SKU,Regular price
1013,"iftar-deal-2","Affordable Iftar Deal for 95 kr by Royal Sweets Stockholm","RD-1004","95"
1089,"kaju-katli","Kaju Katli | Premium Sweets in Stockholm","Sw-1014","90"
1184,"boondi-phulkian-pakoria-light-delectable-savoury-delicacy","Boondi | Phulkian | Pakoria | light delectable savoury delicacy","",""
936,"kulcha","Kulcha","NB-1003","25"
1091,"gajar-ka-halwa-carrot-halwa-sweets","Gajar Halwa | Carrot Halwa Sweets","","50"
916,"beef-karahi","Beef Karahi","BR-1002","169"
924,"chappli-kebab","Chappli Kebab","RG-1005","139"
904,"samosa-chaat-by-royal-sweets","Samosa Chaat By Royal Sweets","ST-1005","69"
1029,"double-cheese-burger","Ultimate Double Cheese Burger","RB-003","169"
971,"laam-gryta-best-of-lamb-cuisine","Laam Gryta | Best of Lamb Cuisine","LM-1003","149"
1045,"beef-pizza","Beef Pizza","RP-006","149"
989,"barfi-best-of-royal-sweets","Mango Chicken | Best of Royal Sweets & Restaurant","Ck-1021","169"
1021,"catering-party-hall-deal-3","Catering & Party hall Deal 3 (fr. 260 kr/person) | 30 Gäster","RD-001-4","210"
991,"chicken-chilli-lamm-beef-chili-curry","Chicken Chilli | Lamm | Beef Chili curry","Ck-1023","159"
1092,"daal-mash-roll-patisa-premium-sweets-of-stockholm","Daal Mash Roll Patisa | Premium Sweets of Stockholm","Sw-1006","40"
835,"ras-malai-best-ras-malai-in-stockholm","Ras Malai | Best Ras Malai In Stockholm","Sw-1032","5000"
1032,"lahori-shawarma-with-drink","Lahori Shawarma with Drink","RW-003","115"
1100,"besan-patisa-premium-sweets-of-stockholm","Besan Patisa Premium Sweets of Stockholm","Sw-1003","40"
980,"cutlus-gulab-jamun-the-royal-treat-by-royal-sweets","Cutlus Gulab Jamun ""The Royal treat by Royal Sweets""","Sw-1001-1","40"
1098,"ballu-shahi-the-royal-treat-by-royal-sweets-restaurant","Ballu Shahi The Royal Treat By Royal Sweets & Restaurant","Sw-1009","40"
1017,"party-deal-3","Party Deal 3 |   Grand Indo-Pakistani Banquet Menu for 24 People","RD-001-8","5500"
913,"chicken-jalfrezi-best-jalfrezi-in-stockholm","Chicken Jalfrezi | Best Jalfrezi in Stockholm","Ck-1007","155"
1037,"chips-fries","Crispy Golden Chips (French Fries)","RS-004","39"
1106,"rasgulla-ethnic-indo-pak-sweetmeat-delicacy","Rasgulla | Ethnic Indo Pak sweetmeat delicacy","","40"
917,"beef-jalfrezi","Beef jalfrezi","BR-1003","159"
1099,"besan-ladu-or-laddu-most-famous-subcontinental-sweet","Besan Ladu or Laddu | Most famous Subcontinental Sweet","Sw-1004","40"
927,"chana-cholle-lahori-channay-for-perfect-breakfast","Chana Cholle | Lahori Channay for Perfect Breakfast","VG-1003","129"
1064,"royal-kheer-creamy-cardamom-rice-pudding","Royal Kheer - Creamy Cardamom Rice Pudding","RSD-004","39"
1179,"vegetable-biryani-vegetarian-food-in-stockholm","Vegetable Biryani | Vegetarian food in Stockholm","","129"
944,"lamm-nehari-most-famous-nihari-in-town","Lamm Nehari | Most Famous Nihari in Town","BF-1001","165"
941,"keema-naan-best-mince-meat-nan-bread-in-stockholm","Keema Naan | Best Mince Meat Nan Bread in Stockholm","BF-1006","49"
840,"chocolate-roll-patisa-premium-sweets-of-stockholm","Chocolate Roll Patisa | Premium Sweets of Stockholm","Sw-1006-1","40"
1108,"cream-gullab-jamun-stuffed-desi-sweets","Cream Gullab Jamun | Stuffed Desi Sweets","Sw-1011","40"
1185,"cream-chum-chum-stuffed-chum-chum-sweets","Cream Chum Chum | Stuffed Chum Chum Sweets","","40"
1034,"kids-meal","Kids Chicken Nuggets & Chips Meal","RS-001","79"
844,"shaker-parey-shakar-para-best-sweets-in-town","Shaker parey | Shakar Para | Best Sweets in Town","Sw-1010","35"
1102,"mysore-pak-sweets-by-royal-sweets-restaurant-stockholm","Mysore Pak | Sweets By Royal Sweets & Restaurant Stockholm","","35"
1015,"party-deal-1","Party Deal 1 | Indo-Pakistani Party Deal for 8 People","RD-001=10","1950"
937,"peshawari-nan-taste-of-peshawar-in-stockholm","Peshawari nan | Taste of Peshawar in Stockholm","NB-1004","35"
1033,"kids-burger","Kids Burger/Barn Burger","RB-001","79"
934,"plain-nan","Plain nan","NB-1001","19"
1042,"paneer-tikka-pizza","Paneer Tikka Pizza","RP-009","129"
1095,"sohan-halwa-tiki-no-1-sweets-shop-in-stockholm","Sohan Halwa Tiki ( SOHAN PITEES ) | No. 1 Sweets Shop in Stockholm","Sw-1005","40"
998,"achar-gosht-lamm-beef-chicken-pickle-flavour-curry","Achar Gosht | Lamm | Beef | Chicken | Pickle flavour Curry","Ck-1026","149"
849,"vegetable-pakora-popular-indian-snacks-in-stockholm","Vegetable Pakora | Popular Indian snacks in Stockholm","ST-1002","59"
945,"beef-nehari-best-nihari-in-stockholm","Beef Nehari | Best Nihari in Stockholm","BF-1002","155"
1061,"warm-doodh-jalebi-a-royal-sweet-indulgence","Warm Doodh Jalebi - A Royal Sweet Indulgence","RSD-002","49"
972,"lamm-karahi-best-lamb-karahi-in-stockholm","Lamm Karahi | Best Lamb Karahi in Stockholm","BR-1002-1","169"
847,"chicken-samosa-most-famous-chicken-samosa-in-stockholm","Chicken Samosa | Most Famous Chicken Samosa in Stockholm","ST-1010","25"
943,"halwa-puri-most-famous-halwa-puri-in-stockholm","Halwa Puri | Most Famous Halwa puri in Stockholm","BF-1001-1","129"
1063,"royal-falooda-refreshing-layered-dessert-drink","Royal Falooda - Refreshing Layered Dessert Drink","RSD-003","69"
929,"alo-gobi-vegetarian-food-in-stockholm","Alo Gobi | Vegetarian Food in Stockholm","VG-1005","129"
